target,year,rank,neighbour,cosine_sim
environmental,2020,9,design,0.3844
environmental,2020,10,change,0.3799
environmental,2020,11,visiting,0.3746
environmental,2020,12,socio,0.3744
environmental,2021,1,design,0.4918
environmental,2021,2,socio,0.3867
environmental,2021,3,question,0.3859
environmental,2021,4,body,0.3845
environmental,2021,5,home,0.3811
environmental,2021,6,ethics,0.3732
environmental,2021,7,human,0.3724
environmental,2021,8,justice,0.3686
environmental,2021,9,living,0.3662
environmental,2021,10,architecture,0.3627
environmental,2021,11,sustainability,0.3621
environmental,2021,12,general,0.3617
environmental,2022,1,social,0.4728
environmental,2022,2,sustainability,0.4342
environmental,2022,3,economic,0.3674
environmental,2022,4,justice,0.3652
environmental,2022,5,principles,0.3627
environmental,2022,6,extreme,0.3479
environmental,2022,7,building,0.3432
environmental,2022,8,advance,0.3307
environmental,2022,9,assessment,0.3292
environmental,2022,10,passive,0.3237
environmental,2022,11,larger,0.3223
environmental,2022,12,tool,0.321
environmental,2023,1,justice,0.4831
environmental,2023,2,leadership,0.4157
environmental,2023,3,particular,0.3903
environmental,2023,4,technical,0.3647
environmental,2023,5,advanced,0.3546
environmental,2023,6,wide,0.3509
environmental,2023,7,passive,0.3383
environmental,2023,8,integrating,0.3294
environmental,2023,9,responsive,0.3263
environmental,2023,10,sciences,0.3248
environmental,2023,11,social,0.3228
environmental,2023,12,modeling,0.3213
environmental,2024,1,social,0.4613
environmental,2024,2,significant,0.3785
environmental,2024,3,representation,0.377
environmental,2024,4,ecological,0.3754
environmental,2024,5,efforts,0.36
environmental,2024,6,state,0.3463
environmental,2024,7,political,0.3409
environmental,2024,8,systems,0.3169
environmental,2024,9,economic,0.3158
environmental,2024,10,great,0.3122
environmental,2024,11,places,0.3111
environmental,2024,12,humanities,0.3075
environmental,2025,1,ecological,0.4573
environmental,2025,2,justice,0.4476
environmental,2025,3,sustainable,0.408
environmental,2025,4,social,0.3628
environmental,2025,5,architecture,0.3601
environmental,2025,6,design,0.3432
environmental,2025,7,equity,0.3306
environmental,2025,8,technological,0.3276
environmental,2025,9,california,0.318
environmental,2025,10,opportunities,0.3102
environmental,2025,11,urban,0.3048
environmental,2025,12,works,0.3008
environmental,2026,1,climate,0.565
environmental,2026,2,architectural,0.5544
environmental,2026,3,social,0.5284
environmental,2026,4,contexts,0.5088
environmental,2026,5,economic,0.4884
environmental,2026,6,impact,0.4869
environmental,2026,7,design,0.4851
environmental,2026,8,change,0.4715
environmental,2026,9,material,0.4614
environmental,2026,10,justice,0.4601
environmental,2026,11,architecture,0.4568
environmental,2026,12,equity,0.4376
systems,2020,1,infrastructure,0.4562
systems,2020,2,comprehensive,0.3719
systems,2020,3,passive,0.3606
systems,2020,4,components,0.3583
systems,2020,5,infrastructural,0.354
systems,2020,6,technical,0.3506
systems,2020,7,focused,0.3411
systems,2020,8,regional,0.3407
systems,2020,9,comfort,0.3393
systems,2020,10,approach,0.3368
systems,2020,11,air,0.3348
systems,2020,12,timber,0.3293
systems,2021,1,reuse,0.4661
systems,2021,2,integration,0.4145
systems,2021,3,design,0.4037
systems,2021,4,networks,0.375
systems,2021,5,regenerative,0.3539
systems,2021,6,ecological,0.3517
systems,2021,7,emerging,0.3499
systems,2021,8,technologies,0.3439
systems,2021,9,system,0.3387
systems,2021,10,vernacular,0.3376
systems,2021,11,performance,0.3359
systems,2021,12,energy,0.3334
systems,2022,1,frameworks,0.3391
systems,2022,2,anthropocene,0.3296
systems,2022,3,passive,0.3147
systems,2022,4,performance,0.3145
systems,2022,5,networks,0.3104
systems,2022,6,teams,0.3083
systems,2022,7,contexts,0.3081
systems,2022,8,engaging,0.2987
systems,2022,9,fossil,0.2976
systems,2022,10,environmental,0.2964
systems,2022,11,cycle,0.2953
systems,2022,12,house,0.2947
systems,2023,1,integration,0.3885
systems,2023,2,components,0.3856
systems,2023,3,florida,0.364
systems,2023,4,content,0.3353
systems,2023,5,concepts,0.3335
systems,2023,6,structural,0.3329
systems,2023,7,system,0.3277
systems,2023,8,food,0.3217
systems,2023,9,fossil,0.3201
systems,2023,10,ethical,0.3196
systems,2023,11,partners,0.313
systems,2023,12,north,0.312
systems,2024,1,components,0.4032
systems,2024,2,radical,0.3895
systems,2024,3,thinking,0.3815
systems,2024,4,embodied,0.3673
systems,2024,5,infrastructural,0.3535
systems,2024,6,design,0.3381
systems,2024,7,primary,0.3294
systems,2024,8,structural,0.3268
systems,2024,9,environmental,0.3169
systems,2024,10,region,0.315
systems,2024,11,performance,0.3081
systems,2024,12,architecture,0.3074
systems,2025,1,infrastructural,0.3761
systems,2025,2,investigate,0.3676
systems,2025,3,complex,0.3516
systems,2025,4,ecological,0.346
systems,2025,5,simulation,0.3351
systems,2025,6,planet,0.3249
systems,2025,7,structural,0.3242
systems,2025,8,industrial,0.3116
systems,2025,9,components,0.2996
systems,2025,10,species,0.2955
systems,2025,11,activities,0.287
systems,2025,12,become,0.2849
systems,2026,1,integrating,0.4697
systems,2026,2,form,0.4524
systems,2026,3,energy,0.4428
systems,2026,4,active,0.4267
systems,2026,5,equitable,0.4252
systems,2026,6,climate,0.4224
systems,2026,7,social,0.418
systems,2026,8,responsive,0.4178
systems,2026,9,adaptation,0.4146
systems,2026,10,adaptive,0.4138
systems,2026,11,environmental,0.4128
systems,2026,12,food,0.41
energy,2020,1,embodied,0.4649
energy,2020,2,performance,0.4323
energy,2020,3,zero,0.4126
energy,2020,4,consumption,0.3973
energy,2020,5,emissions,0.3956
energy,2020,6,resource,0.387
energy,2020,7,extraction,0.3782
energy,2020,8,green,0.3739
energy,2020,9,carbon,0.362
energy,2020,10,waste,0.3577
energy,2020,11,building,0.3569
energy,2020,12,solar,0.3494
energy,2021,1,consumption,0.553
energy,2021,2,carbon,0.5371
energy,2021,3,embodied,0.528
energy,2021,4,building,0.5247
energy,2021,5,zero,0.5035
energy,2021,6,design,0.4742
energy,2021,7,growth,0.4252
energy,2021,8,resources,0.408
energy,2021,9,emissions,0.4052
energy,2021,10,assessment,0.3977
energy,2021,11,fossil,0.3934
energy,2021,12,simulation,0.3838
energy,2022,1,solar,0.5168
energy,2022,2,zero,0.4809
energy,2022,3,thermal,0.3803
energy,2022,4,labor,0.3589
energy,2022,5,simulation,0.3548
energy,2022,6,fossil,0.3479
energy,2022,7,shape,0.3361
energy,2022,8,served,0.3348
energy,2022,9,reuse,0.3338
energy,2022,10,performance,0.3336
energy,2022,11,adaptive,0.3331
energy,2022,12,tool,0.3252
energy,2023,1,solar,0.3706
energy,2023,2,oil,0.3315
energy,2023,3,responsive,0.3221
energy,2023,4,networks,0.3211
energy,2023,5,systems,0.3118
energy,2023,6,knowledge,0.3104
energy,2023,7,tool,0.3033
energy,2023,8,zero,0.3025
energy,2023,9,organized,0.2985
energy,2023,10,oklahoma,0.297
energy,2023,11,waste,0.2954
energy,2023,12,comfort,0.2953
energy,2024,1,embodied,0.4499
energy,2024,2,island,0.3923
energy,2024,3,carbon,0.3757
energy,2024,4,resource,0.3634
energy,2024,5,extraction,0.3527
energy,2024,6,engineering,0.3504
energy,2024,7,solar,0.3471
energy,2024,8,preservation,0.3445
energy,2024,9,risk,0.3367
energy,2024,10,alternative,0.3232
energy,2024,11,landscapes,0.3197
energy,2024,12,passive,0.3174
energy,2025,1,consumption,0.5975
energy,2025,2,solar,0.3888
energy,2025,3,embodied,0.3803
energy,2025,4,growth,0.376
energy,2025,5,green,0.347
energy,2025,6,mass,0.3444
energy,2025,7,crisis,0.3366
energy,2025,8,sustainable,0.3331
energy,2025,9,heat,0.3083
energy,2025,10,testing,0.3048
energy,2025,11,designing,0.3021
energy,2025,12,networks,0.2938
energy,2026,1,consumption,0.49
energy,2026,2,building,0.485
energy,2026,3,solar,0.4689
energy,2026,4,carbon,0.4495
energy,2026,5,systems,0.4428
energy,2026,6,climate,0.4084
energy,2026,7,emissions,0.3973
energy,2026,8,scenarios,0.3955
energy,2026,9,environmental,0.3937
energy,2026,10,impacts,0.379
energy,2026,11,heat,0.3606
energy,2026,12,cycle,0.3597
material,2020,1,reuse,0.4414
material,2020,2,consumption,0.4015
material,2020,3,fabrication,0.3831
material,2020,4,virtual,0.3733
material,2020,5,investigate,0.3689
material,2020,6,futures,0.3638
material,2020,7,production,0.3612
material,2020,8,introduction,0.3521
material,2020,9,ecologies,0.3519
