target,year,rank,neighbour,cosine_sim
vernacular,2025,10,value,0.3574
vernacular,2025,11,mass,0.344
vernacular,2025,12,means,0.3431
vernacular,2026,1,modern,0.4421
vernacular,2026,2,politics,0.3826
vernacular,2026,3,responsive,0.3813
vernacular,2026,4,knowledge,0.3716
vernacular,2026,5,hoyne,0.3539
vernacular,2026,6,america,0.345
vernacular,2026,7,traditional,0.3414
vernacular,2026,8,park,0.3326
vernacular,2026,9,conditions,0.3301
vernacular,2026,10,narratives,0.3285
vernacular,2026,11,focused,0.3284
vernacular,2026,12,global,0.328
material,2020,1,reuse,0.4618
material,2020,2,consumption,0.4419
material,2020,3,production,0.42
material,2020,4,physical,0.399
material,2020,5,virtual,0.3905
material,2020,6,futures,0.3762
material,2020,7,investigate,0.3599
material,2020,8,scales,0.3538
material,2020,9,materials,0.3533
material,2020,10,fabrication,0.3343
material,2020,11,concepts,0.3182
material,2020,12,testing,0.317
material,2021,1,representation,0.4004
material,2021,2,techniques,0.352
material,2021,3,reuse,0.3507
material,2021,4,materials,0.3395
material,2021,5,histories,0.3271
material,2021,6,agency,0.3192
material,2021,7,means,0.3184
material,2021,8,century,0.3145
material,2021,9,performance,0.3114
material,2021,10,component,0.3097
material,2021,11,implementation,0.309
material,2021,12,making,0.3059
material,2022,1,extraction,0.4191
material,2022,2,materials,0.3784
material,2022,3,physical,0.3608
material,2022,4,building,0.348
material,2022,5,anthropocene,0.3344
material,2022,6,cycle,0.3264
material,2022,7,fossil,0.3216
material,2022,8,texas,0.3192
material,2022,9,design,0.3182
material,2022,10,representation,0.3158
material,2022,11,explores,0.3128
material,2022,12,political,0.3009
material,2023,1,culture,0.4617
material,2023,2,ecology,0.4453
material,2023,3,labor,0.3727
material,2023,4,ecologies,0.3444
material,2023,5,fabrication,0.3346
material,2023,6,digital,0.3283
material,2023,7,performance,0.3147
material,2023,8,offer,0.3142
material,2023,9,ethics,0.3099
material,2023,10,urban,0.3094
material,2023,11,life,0.3084
material,2023,12,lens,0.3051
material,2024,1,construction,0.4611
material,2024,2,concept,0.4129
material,2024,3,performance,0.3927
material,2024,4,fabrication,0.3901
material,2024,5,labor,0.3809
material,2024,6,waste,0.3731
material,2024,7,impacts,0.3488
material,2024,8,community,0.3373
material,2024,9,virginia,0.3273
material,2024,10,gulf,0.3205
material,2024,11,consumption,0.3192
material,2024,12,embodied,0.3148
material,2025,1,library,0.3682
material,2025,2,fabrication,0.3594
material,2025,3,system,0.3588
material,2025,4,speculative,0.3488
material,2025,5,testing,0.3432
material,2025,6,thermal,0.3207
material,2025,7,cycle,0.3181
material,2025,8,materials,0.3132
material,2025,9,drawing,0.3126
material,2025,10,waste,0.3098
material,2025,11,existing,0.2991
material,2025,12,alternative,0.2986
material,2026,1,environmental,0.5381
material,2026,2,architectural,0.488
material,2026,3,waste,0.4427
material,2026,4,agency,0.4323
material,2026,5,fabrication,0.424
material,2026,6,systems,0.4239
material,2026,7,construction,0.4095
material,2026,8,ecologies,0.4049
material,2026,9,labor,0.4015
material,2026,10,design,0.3933
material,2026,11,reuse,0.3859
material,2026,12,ethics,0.3837
critical,2020,1,contemporary,0.3545
critical,2020,2,discourse,0.3463
critical,2020,3,practice,0.3376
critical,2020,4,design,0.3371
critical,2020,5,central,0.3302
critical,2020,6,mapping,0.3288
critical,2020,7,management,0.3261
critical,2020,8,issues,0.3185
critical,2020,9,library,0.3166
critical,2020,10,collective,0.3103
critical,2020,11,ethical,0.3095
critical,2020,12,scales,0.3092
critical,2021,1,thinking,0.3788
critical,2021,2,provides,0.3675
critical,2021,3,socio,0.3613
critical,2021,4,perspectives,0.3518
critical,2021,5,disciplines,0.348
critical,2021,6,explores,0.3408
critical,2021,7,maps,0.336
critical,2021,8,inquiry,0.3353
critical,2021,9,engaged,0.3335
critical,2021,10,experts,0.3275
critical,2021,11,examine,0.3265
critical,2021,12,areas,0.3208
critical,2022,1,play,0.367
critical,2022,2,migration,0.3297
critical,2022,3,organizations,0.325
critical,2022,4,coastal,0.3183
critical,2022,5,thinking,0.3178
critical,2022,6,concerns,0.3037
critical,2022,7,ideas,0.3029
critical,2022,8,miami,0.2986
critical,2022,9,works,0.296
critical,2022,10,short,0.2939
critical,2022,11,representation,0.2933
critical,2022,12,architecture,0.2927
critical,2023,1,societal,0.3644
critical,2023,2,experts,0.3499
critical,2023,3,engaging,0.3465
critical,2023,4,intersection,0.3458
critical,2023,5,building,0.3244
critical,2023,6,write,0.3209
critical,2023,7,san,0.3105
critical,2023,8,creative,0.306
critical,2023,9,think,0.3024
critical,2023,10,industrial,0.3012
critical,2023,11,applied,0.2974
critical,2023,12,economy,0.295
critical,2024,1,required,0.3743
critical,2024,2,scholarship,0.3586
critical,2024,3,perspectives,0.3511
critical,2024,4,thinking,0.3506
critical,2024,5,resource,0.3448
critical,2024,6,inquiry,0.3425
critical,2024,7,alternative,0.3219
critical,2024,8,frameworks,0.3198
critical,2024,9,able,0.317
critical,2024,10,oil,0.3145
critical,2024,11,assessment,0.3098
critical,2024,12,simulation,0.3095
critical,2025,1,designing,0.3865
critical,2025,2,vision,0.3512
critical,2025,3,mapping,0.3304
critical,2025,4,perspective,0.3265
critical,2025,5,centers,0.3131
critical,2025,6,thinking,0.3076
critical,2025,7,territory,0.3054
critical,2025,8,planet,0.3024
critical,2025,9,alternative,0.2959
critical,2025,10,response,0.2824
critical,2025,11,spatial,0.2821
critical,2025,12,collaboration,0.2779
critical,2026,1,inquiry,0.4669
critical,2026,2,architectural,0.4502
critical,2026,3,thinking,0.4031
critical,2026,4,anthropocene,0.388
critical,2026,5,material,0.383
critical,2026,6,ecological,0.3697
critical,2026,7,climate,0.3576
critical,2026,8,environmental,0.3572
critical,2026,9,design,0.3543
critical,2026,10,theory,0.3456
critical,2026,11,systems,0.3411
critical,2026,12,historical,0.3397
system,2020,1,shared,0.3728
system,2020,2,passive,0.3285
system,2020,3,structural,0.3168
system,2020,4,equitable,0.3166
system,2020,5,plans,0.3099
system,2020,6,including,0.3013
system,2020,7,simulation,0.2977
system,2020,8,health,0.2976
system,2020,9,socio,0.2959
system,2020,10,wide,0.2906
system,2020,11,teams,0.2904
system,2020,12,waste,0.2838
system,2021,1,timber,0.4206
system,2021,2,regenerative,0.3202
system,2021,3,leed,0.313
system,2021,4,neighborhood,0.3062
system,2021,5,miami,0.2973
system,2021,6,efforts,0.2948
system,2021,7,resilient,0.2875
system,2021,8,networks,0.287
system,2021,9,ideas,0.2865
system,2021,10,multi,0.2856
system,2021,11,session,0.2841
system,2021,12,decisions,0.284
system,2022,1,point,0.3483
system,2022,2,integration,0.3209
system,2022,3,solar,0.3207
system,2022,4,prof,0.3201
