target,year,rank,neighbour,cosine_sim
climate,2020,1,change,0.9478
climate,2020,2,society,0.4911
climate,2020,3,justice,0.4788
climate,2020,4,crisis,0.4505
climate,2020,5,scenarios,0.4437
climate,2020,6,face,0.4433
climate,2020,7,problem,0.4418
climate,2020,8,social,0.3995
climate,2020,9,adaptation,0.3959
climate,2020,10,effects,0.3911
climate,2020,11,architecture,0.3909
climate,2020,12,impacts,0.387
climate,2021,1,change,0.9393
climate,2021,2,mitigation,0.478
climate,2021,3,addressing,0.4749
climate,2021,4,adaptation,0.4637
climate,2021,5,crisis,0.4423
climate,2021,6,effects,0.4361
climate,2021,7,challenges,0.4242
climate,2021,8,justice,0.4132
climate,2021,9,society,0.3884
climate,2021,10,impacts,0.3767
climate,2021,11,produce,0.3625
climate,2021,12,write,0.3602
climate,2022,1,change,0.8992
climate,2022,2,society,0.4404
climate,2022,3,crisis,0.4239
climate,2022,4,justice,0.4223
climate,2022,5,environmental,0.3979
climate,2022,6,migration,0.3978
climate,2022,7,write,0.3909
climate,2022,8,designers,0.3858
climate,2022,9,weather,0.3839
climate,2022,10,issues,0.3654
climate,2022,11,temple,0.3567
climate,2022,12,responsibility,0.3563
climate,2023,1,change,0.903
climate,2023,2,critically,0.4623
climate,2023,3,society,0.4094
climate,2023,4,action,0.4084
climate,2023,5,migration,0.3957
climate,2023,6,crisis,0.38
climate,2023,7,impacts,0.3744
climate,2023,8,central,0.3727
climate,2023,9,mitigation,0.3725
climate,2023,10,risk,0.3668
climate,2023,11,selection,0.3614
climate,2023,12,resilience,0.353
climate,2024,1,change,0.8855
climate,2024,2,crisis,0.5662
climate,2024,3,justice,0.5393
climate,2024,4,society,0.456
climate,2024,5,responsive,0.4184
climate,2024,6,social,0.378
climate,2024,7,impacts,0.3755
climate,2024,8,mitigation,0.37
climate,2024,9,effects,0.361
climate,2024,10,session,0.3596
climate,2024,11,food,0.3595
climate,2024,12,addressing,0.3465
climate,2025,1,change,0.8
climate,2025,2,justice,0.4743
climate,2025,3,crisis,0.4653
climate,2025,4,design,0.4257
climate,2025,5,extreme,0.4158
climate,2025,6,society,0.3914
climate,2025,7,body,0.3769
climate,2025,8,policy,0.3659
climate,2025,9,discourse,0.3625
climate,2025,10,infrastructural,0.3592
climate,2025,11,october,0.3556
climate,2025,12,write,0.352
climate,2026,1,change,0.8338
climate,2026,2,environmental,0.6119
climate,2026,3,adaptation,0.5501
climate,2026,4,societal,0.5039
climate,2026,5,mitigation,0.4976
climate,2026,6,responsive,0.4976
climate,2026,7,justice,0.4932
climate,2026,8,architecture,0.4822
climate,2026,9,society,0.4819
climate,2026,10,architectural,0.4769
