word,year,count_year,count_other,tokens_year,tokens_other,freq_year_per1k,freq_other_per1k,G2,direction,p_label,significant
practice,2020,158,702,77164,307077,2.0476,2.2861,1.602,-,not significant,False
practices,2020,78,365,77164,307077,1.0108,1.1886,1.747,-,not significant,False
process,2020,91,340,77164,307077,1.1793,1.1072,0.282,+,not significant,False
professional,2020,98,405,77164,307077,1.27,1.3189,0.113,-,not significant,False
project,2020,243,993,77164,307077,3.1491,3.2337,0.138,-,not significant,False
projects,2020,156,681,77164,307077,2.0217,2.2177,1.108,-,not significant,False
public,2020,194,678,77164,307077,2.5141,2.2079,2.483,+,not significant,False
resilience,2020,94,358,77164,307077,1.2182,1.1658,0.142,+,not significant,False
resources,2020,99,362,77164,307077,1.283,1.1789,0.548,+,not significant,False
scale,2020,98,444,77164,307077,1.27,1.4459,1.388,-,not significant,False
science,2020,125,398,77164,307077,1.6199,1.2961,4.547,+,p < 0.05,True
site,2020,105,768,77164,307077,1.3607,2.501,39.841,-,p < 0.0001,True
social,2020,193,1110,77164,307077,2.5012,3.6147,24.277,-,p < 0.0001,True
society,2020,184,518,77164,307077,2.3845,1.6869,15.354,+,p < 0.0001,True
space,2020,84,454,77164,307077,1.0886,1.4785,7.118,-,p < 0.01,True
spatial,2020,81,399,77164,307077,1.0497,1.2993,3.211,-,not significant,False
state,2020,121,478,77164,307077,1.5681,1.5566,0.005,+,not significant,False
strategies,2020,109,549,77164,307077,1.4126,1.7878,5.316,-,p < 0.05,True
study,2020,123,483,77164,307077,1.594,1.5729,0.017,+,not significant,False
sustainability,2020,170,587,77164,307077,2.2031,1.9116,2.586,+,not significant,False
sustainable,2020,184,748,77164,307077,2.3845,2.4359,0.067,-,not significant,False
systems,2020,210,993,77164,307077,2.7215,3.2337,5.35,-,p < 0.05,True
technology,2020,126,449,77164,307077,1.6329,1.4622,1.175,+,not significant,False
texas,2020,74,343,77164,307077,0.959,1.117,1.462,-,not significant,False
time,2020,122,444,77164,307077,1.581,1.4459,0.751,+,not significant,False
understanding,2020,111,414,77164,307077,1.4385,1.3482,0.363,+,not significant,False
urban,2020,369,1575,77164,307077,4.782,5.129,1.488,-,not significant,False
water,2020,153,453,77164,307077,1.9828,1.4752,9.506,+,p < 0.01,True
work,2020,366,1376,77164,307077,4.7431,4.481,0.925,+,not significant,False
world,2020,164,508,77164,307077,2.1253,1.6543,7.447,+,p < 0.01,True
year,2020,96,407,77164,307077,1.2441,1.3254,0.315,-,not significant,False
years,2020,110,335,77164,307077,1.4255,1.0909,5.656,+,p < 0.05,True
address,2021,80,334,67645,316596,1.1826,1.055,0.823,+,not significant,False
american,2021,108,488,67645,316596,1.5966,1.5414,0.109,+,not significant,False
analysis,2021,137,477,67645,316596,2.0253,1.5067,8.805,+,p < 0.01,True
approach,2021,79,376,67645,316596,1.1679,1.1876,0.018,-,not significant,False
architect,2021,69,447,67645,316596,1.02,1.4119,6.835,-,p < 0.01,True
architects,2021,131,525,67645,316596,1.9366,1.6583,2.446,+,not significant,False
architectural,2021,265,1651,67645,316596,3.9175,5.2148,20.007,-,p < 0.0001,True
architecture,2021,1113,5338,67645,316596,16.4535,16.8606,0.553,-,not significant,False
art,2021,96,315,67645,316596,1.4192,0.995,8.691,+,p < 0.01,True
assistant,2021,94,452,67645,316596,1.3896,1.4277,0.057,-,not significant,False
associate,2021,81,426,67645,316596,1.1974,1.3456,0.951,-,not significant,False
building,2021,407,1399,67645,316596,6.0167,4.4189,28.335,+,p < 0.0001,True
buildings,2021,137,439,67645,316596,2.0253,1.3866,13.985,+,p < 0.001,True
built,2021,172,663,67645,316596,2.5427,2.0942,4.949,+,p < 0.05,True
carbon,2021,137,532,67645,316596,2.0253,1.6804,3.658,+,not significant,False
center,2021,123,742,67645,316596,1.8183,2.3437,7.218,-,p < 0.01,True
challenges,2021,94,452,67645,316596,1.3896,1.4277,0.057,-,not significant,False
change,2021,397,1809,67645,316596,5.8689,5.7139,0.232,+,not significant,False
cities,2021,96,493,67645,316596,1.4192,1.5572,0.707,-,not significant,False
city,2021,179,880,67645,316596,2.6462,2.7796,0.364,-,not significant,False
climate,2021,534,3317,67645,316596,7.8942,10.4771,39.432,-,p < 0.0001,True
communities,2021,96,504,67645,316596,1.4192,1.5919,1.092,-,not significant,False
community,2021,230,1086,67645,316596,3.4001,3.4302,0.015,-,not significant,False
conditions,2021,58,384,67645,316596,0.8574,1.2129,6.597,-,p < 0.05,True
construction,2021,101,615,67645,316596,1.4931,1.9425,6.394,-,p < 0.05,True
context,2021,63,425,67645,316596,0.9313,1.3424,8.021,-,p < 0.01,True
critical,2021,84,571,67645,316596,1.2418,1.8036,11.18,-,p < 0.001,True
cultural,2021,84,608,67645,316596,1.2418,1.9204,15.649,-,p < 0.0001,True
current,2021,103,295,67645,316596,1.5227,0.9318,16.925,+,p < 0.0001,True
data,2021,70,386,67645,316596,1.0348,1.2192,1.655,-,not significant,False
design,2021,1307,5508,67645,316596,19.3215,17.3976,11.371,+,p < 0.001,True
develop,2021,117,562,67645,316596,1.7296,1.7751,0.066,-,not significant,False
development,2021,328,1666,67645,316596,4.8488,5.2622,1.868,-,not significant,False
ecological,2021,77,545,67645,316596,1.1383,1.7214,12.794,-,p < 0.001,True
economic,2021,75,366,67645,316596,1.1087,1.156,0.11,-,not significant,False
energy,2021,329,865,67645,316596,4.8636,2.7322,72.141,+,p < 0.0001,True
environment,2021,263,883,67645,316596,3.8879,2.789,21.016,+,p < 0.0001,True
environmental,2021,337,1799,67645,316596,4.9819,5.6823,5.061,-,p < 0.05,True
experience,2021,78,470,67645,316596,1.1531,1.4845,4.534,-,p < 0.05,True
future,2021,164,700,67645,316596,2.4244,2.211,1.107,+,not significant,False
global,2021,119,642,67645,316596,1.7592,2.0278,2.094,-,not significant,False
health,2021,129,326,67645,316596,1.907,1.0297,31.819,+,p < 0.0001,True
history,2021,79,543,67645,316596,1.1679,1.7151,11.198,-,p < 0.001,True
housing,2021,96,441,67645,316596,1.4192,1.3929,0.027,+,not significant,False
human,2021,117,515,67645,316596,1.7296,1.6267,0.354,+,not significant,False
impact,2021,91,465,67645,316596,1.3453,1.4687,0.599,-,not significant,False
include,2021,73,351,67645,316596,1.0792,1.1087,0.044,-,not significant,False
including,2021,76,539,67645,316596,1.1235,1.7025,12.761,-,p < 0.001,True
infrastructure,2021,82,653,67645,316596,1.2122,2.0626,23.598,-,p < 0.0001,True
issues,2021,149,422,67645,316596,2.2027,1.3329,25.502,+,p < 0.0001,True
justice,2021,99,529,67645,316596,1.4635,1.6709,1.509,-,not significant,False
knowledge,2021,92,419,67645,316596,1.36,1.3235,0.056,+,not significant,False
landscape,2021,94,671,67645,316596,1.3896,2.1194,16.322,-,p < 0.0001,True
learning,2021,113,476,67645,316596,1.6705,1.5035,0.991,+,not significant,False
level,2021,71,332,67645,316596,1.0496,1.0487,0.0,+,not significant,False
life,2021,85,355,67645,316596,1.2566,1.1213,0.869,+,not significant,False
local,2021,72,486,67645,316596,1.0644,1.5351,9.199,-,p < 0.01,True
master,2021,59,386,67645,316596,0.8722,1.2192,6.228,-,p < 0.05,True
material,2021,133,1033,67645,316596,1.9661,3.2628,34.409,-,p < 0.0001,True
materials,2021,137,605,67645,316596,2.0253,1.911,0.373,+,not significant,False
methods,2021,87,356,67645,316596,1.2861,1.1245,1.227,+,not significant,False
module,2021,76,348,67645,316596,1.1235,1.0992,0.03,+,not significant,False
national,2021,67,336,67645,316596,0.9905,1.0613,0.271,-,not significant,False
natural,2021,91,349,67645,316596,1.3453,1.1024,2.751,+,not significant,False
nature,2021,85,314,67645,316596,1.2566,0.9918,3.576,+,not significant,False
performance,2021,118,377,67645,316596,1.7444,1.1908,12.221,+,p < 0.001,True
plan,2021,72,359,67645,316596,1.0644,1.1339,0.244,-,not significant,False
planning,2021,123,637,67645,316596,1.8183,2.012,1.081,-,not significant,False
practice,2021,169,691,67645,316596,2.4983,2.1826,2.411,+,not significant,False
practices,2021,66,377,67645,316596,0.9757,1.1908,2.335,-,not significant,False
process,2021,90,341,67645,316596,1.3305,1.0771,3.049,+,not significant,False
professional,2021,80,423,67645,316596,1.1826,1.3361,1.029,-,not significant,False
project,2021,200,1036,67645,316596,2.9566,3.2723,1.765,-,not significant,False
projects,2021,146,691,67645,316596,2.1583,2.1826,0.015,-,not significant,False
public,2021,105,767,67645,316596,1.5522,2.4226,20.468,-,p < 0.0001,True
resilience,2021,51,401,67645,316596,0.7539,1.2666,13.91,-,p < 0.001,True
resources,2021,102,359,67645,316596,1.5079,1.1339,6.11,+,p < 0.05,True
